Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
WHYPE,USD,Pyth,Pyth_WHYPE/USD,0x1d0E4EA616A749c1620118F7d97c111e8ec36E8b,0x5555555555555555555555555555555555555555,0x0000000000000000000000000000000000000348,Yes
USDT,USD,Pyth,Pyth_USDT/USD,0x58Ea071Bed56c6C606686035eDB5270D9920Ca95,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,0x0000000000000000000000000000000000000348,Yes
thBILL,USD,Pyth,Pyth_thBILL/USDC,0x592F1dB133F1e8f20253cBe506B0B393FCE7aFbf,0xfDD22Ce6D1F66bc0Ec89b20BF16CcB6670F55A5a,0xb88339CB7199b77E23DB6E890353E22632Ba630f,Yes
XAUt0,USD,Pyth,Pyth_XAUt0/USD,0xaA5CDCeB1AA866E89968F22CE7f17D330e43ed01,0xf4D9235269a96aaDaFc9aDAe454a0618eBE37949,0x0000000000000000000000000000000000000348,Yes
USDC,USD,Pyth,Pyth_USDC/USD,0x94F71bCa20954A1E2ced722e4a9798bAAA8dF45F,0xb88339CB7199b77E23DB6E890353E22632Ba630f,0x0000000000000000000000000000000000000348,Yes
sUSDe,USD,Pyth,Pyth_sUSDe/USD,0xc2E5f286Caf47257C42397518CAF41987a34a582,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x0000000000000000000000000000000000000348,Yes
UBTC,USD,Pyth,Pyth_UBTC/USD,0xfD5c563391CDA3B290394da1D6c6a36A3cbf401D,0x9FDBdA0A5e284c32744D2f17Ee5c74B284993463,0x0000000000000000000000000000000000000348,Yes
UETH,USD,Pyth,Pyth_UETH/USD,0x44Bbb85E5B1799569dD02054Cfb38028656Ae30A,0xBe6727B535545C67d5cAa73dEa54865B92CF7907,0x0000000000000000000000000000000000000348,Yes
USDe,USD,Pyth,Pyth_USDe/USD,0x564C53322eA51992FbCb943Ac3ceB8cdcD078e0D,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x0000000000000000000000000000000000000348,Yes
feUSD,USD,Pyth,Pyth_feUSD/USD,0x7B06AAc85966e045e73d2F41c5E5B5Dc2caa2EC5,0x02c6a2fA58cC01A18B8D9E00eA48d65E4dF26c70,0x0000000000000000000000000000000000000348,Yes
USDHL,USD,Pyth,Pyth_USDHL/USD,0x1a6A7eD67d52f9712C5F8150C773dD08B21CDEC7,0xb50A96253aBDF803D85efcDce07Ad8becBc52BD5,0x0000000000000000000000000000000000000348,Yes
USOL,USD,Pyth,Pyth_USOL/USD,0xD79b997699C9A917c7Ce8E63483dBB2fa6526B07,0x068f321Fa8Fb9f0D135f290Ef6a3e2813e1c8A29,0x0000000000000000000000000000000000000348,Yes
beHYPE,USD,RedStone,RedStone_beHYPE/USD,0x1d0E4EA616A749c1620118F7d97c111e8ec36E8b,0xd8FC8F0b03eBA61F64D08B0bef69d80916E5DdA9,0x0000000000000000000000000000000000000348,Yes
USDH,USD,Pyth,Pyth_USDH/USD,0x2a6590B3054D6024b3AFE0E6e86F1Ec9DF7e8cb1,0x111111a1a0667d36bD57c0A9f569b98057111111,0x0000000000000000000000000000000000000348,Yes
